Country,Date,Cumulative_cases,Cases
Connecticut,2022-08-12,59,5
Connecticut,2022-08-15,59,0
Connecticut,2022-08-16,69,10
Connecticut,2022-08-17,71,2
Connecticut,2022-08-18,73,2
Connecticut,2022-08-22,82,9
Connecticut,2022-08-23,83,1
Connecticut,2022-08-24,86,3
Connecticut,2022-08-25,87,1
Connecticut,2022-08-26,89,2
Connecticut,2022-08-30,90,1
Connecticut,2022-08-31,91,1
Connecticut,2022-09-01,93,2
Connecticut,2022-09-02,94,1
Connecticut,2022-09-06,102,8
Connecticut,2022-09-07,104,2
Connecticut,2022-09-08,107,3
Connecticut,2022-09-09,107,0
Connecticut,2022-09-12,113,6
Connecticut,2022-09-13,113,0
Connecticut,2022-09-14,114,1
Connecticut,2022-09-18,120,6
Connecticut,2022-09-19,124,4
Connecticut,2022-09-20,123,-1
Connecticut,2022-09-21,123,0
Connecticut,2022-09-23,124,1
Connecticut,2022-09-26,124,0
Connecticut,2022-09-27,124,0
Connecticut,2022-09-28,125,1
Connecticut,2022-09-29,125,0
Connecticut,2022-10-01,126,1
Connecticut,2022-10-03,126,0
Delaware,2022-07-15,1,1
Delaware,2022-07-18,1,0
Delaware,2022-07-19,1,0
Delaware,2022-07-21,3,2
Delaware,2022-07-22,3,0
Delaware,2022-07-25,3,0
Delaware,2022-07-26,3,0
Delaware,2022-07-27,3,0
Delaware,2022-07-28,3,0
Delaware,2022-07-29,4,1
Delaware,2022-08-03,5,1
Delaware,2022-08-10,8,3
Delaware,2022-08-12,8,0
Delaware,2022-08-15,10,2
Delaware,2022-08-16,10,0
Delaware,2022-08-17,10,0
Delaware,2022-08-18,10,0
Delaware,2022-08-22,17,7
Delaware,2022-08-23,19,2
Delaware,2022-08-24,19,0
Delaware,2022-08-25,20,1
Delaware,2022-08-26,21,1
Delaware,2022-08-30,21,0
Delaware,2022-08-31,22,1
Delaware,2022-09-01,25,3
Delaware,2022-09-02,25,0
Delaware,2022-09-06,26,1
Delaware,2022-09-07,28,2
Delaware,2022-09-08,28,0
Delaware,2022-09-09,29,1
Delaware,2022-09-12,33,4
Delaware,2022-09-13,34,1
Delaware,2022-09-14,35,1
Delaware,2022-09-18,35,0
Delaware,2022-09-19,35,0
Delaware,2022-09-20,35,0
Delaware,2022-09-21,35,0
Delaware,2022-09-23,36,1
Delaware,2022-09-26,36,0
Delaware,2022-09-27,36,0
Delaware,2022-09-28,36,0
Delaware,2022-09-29,37,1
Delaware,2022-10-01,38,1
Delaware,2022-10-03,38,0
District of Columbia,2022-06-08,2,2
District of Columbia,2022-06-17,4,2
District of Columbia,2022-06-22,4,0
District of Columbia,2022-06-28,20,16
District of Columbia,2022-07-05,53,33
District of Columbia,2022-07-07,60,7
District of Columbia,2022-07-15,108,48
District of Columbia,2022-07-18,108,0
District of Columbia,2022-07-19,126,18
District of Columbia,2022-07-21,110,-16
District of Columbia,2022-07-22,110,0
District of Columbia,2022-07-25,139,29
District of Columbia,2022-07-26,191,52
District of Columbia,2022-07-27,205,14
District of Columbia,2022-07-28,214,9
